,Ciudad,Entidad,Derecho,MA,Sociedad,Político,Gobierno,Factores,Economía,Precursores,RI,Innovación,GENERAL,anio,poblacion,pea,p ocupada,act economica,tamaño,region,PIB,Destino,hacia,desde
0,Aguascalientes,Aguascalientes,85.49162410843192,66.36921118680117,57.04434750652972,60.57727801234519,61.30477568159529,50.808240240701075,35.9773730477986,40.44470965233963,38.39026310787228,27.61763889545415,52.402546143986896,2018,1110902,487802,469770,192994404.62381998,Más de un millón,Centro-Occidente,398111958.0,Cancún,57452.0,60726.0
1,Aguascalientes,Aguascalientes,85.49162410843192,66.36921118680117,57.04434750652972,60.57727801234519,61.30477568159529,50.808240240701075,35.9773730477986,40.44470965233963,38.39026310787228,27.61763889545415,52.402546143986896,2018,1110902,487802,469770,192994404.62381998,Más de un millón,Centro-Occidente,398111958.0,Guadalajara,45.0,0.0
2,Aguascalientes,Aguascalientes,85.49162410843192,66.36921118680117,57.04434750652972,60.57727801234519,61.30477568159529,50.808240240701075,35.9773730477986,40.44470965233963,38.39026310787228,27.61763889545415,52.402546143986896,2018,1110902,487802,469770,192994404.62381998,Más de un millón,Centro-Occidente,398111958.0,León,15.0,0.0
3,Aguascalientes,Aguascalientes,85.49162410843192,66.36921118680117,57.04434750652972,60.57727801234519,61.30477568159529,50.808240240701075,35.9773730477986,40.44470965233963,38.39026310787228,27.61763889545415,52.402546143986896,2018,1110902,487802,469770,192994404.62381998,Más de un millón,Centro-Occidente,398111958.0,México,173680.0,172490.0
4,Aguascalientes,Aguascalientes,85.49162410843192,66.36921118680117,57.04434750652972,60.57727801234519,61.30477568159529,50.808240240701075,35.9773730477986,40.44470965233963,38.39026310787228,27.61763889545415,52.402546143986896,2018,1110902,487802,469770,192994404.62381998,Más de un millón,Centro-Occidente,398111958.0,Monterrey,18549.0,17774.0
5,Aguascalientes,Aguascalientes,85.49162410843192,66.36921118680117,57.04434750652972,60.57727801234519,61.30477568159529,50.808240240701075,35.9773730477986,40.44470965233963,38.39026310787228,27.61763889545415,52.402546143986896,2018,1110902,487802,469770,192994404.62381998,Más de un millón,Centro-Occidente,398111958.0,Puerto Vallarta,22316.0,23415.0
6,Aguascalientes,Aguascalientes,85.49162410843192,66.36921118680117,57.04434750652972,60.57727801234519,61.30477568159529,50.808240240701075,35.9773730477986,40.44470965233963,38.39026310787228,27.61763889545415,52.402546143986896,2018,1110902,487802,469770,192994404.62381998,Más de un millón,Centro-Occidente,398111958.0,Tampico,46.0,0.0
7,Aguascalientes,Aguascalientes,85.49162410843192,66.36921118680117,57.04434750652972,60.57727801234519,61.30477568159529,50.808240240701075,35.9773730477986,40.44470965233963,38.39026310787228,27.61763889545415,52.402546143986896,2018,1110902,487802,469770,192994404.62381998,Más de un millón,Centro-Occidente,398111958.0,Tijuana,75701.0,71684.0
8,Aguascalientes,Aguascalientes,85.49162410843192,66.36921118680117,57.04434750652972,60.57727801234519,61.30477568159529,50.808240240701075,35.9773730477986,40.44470965233963,38.39026310787228,27.61763889545415,52.402546143986896,2018,1110902,487802,469770,192994404.62381998,Más de un millón,Centro-Occidente,398111958.0,Toluca,65.0,96.0
9,Ensenada,Baja California,73.28910184129722,55.349265847683654,56.18473410843872,64.33597897357147,33.86280745469435,61.979437772286246,35.569940046079076,38.42790961586015,18.812110447876652,31.140608497309938,46.89518946050975,2018,518900,261553,250011,54210942.2753691,De 500 mil a un millón,Noroeste,51671717.0,0,0.0,0.0
10,Mexicali,Baja California,79.50204036822329,56.60460113381847,52.60627229081452,62.324017898473116,71.1276647280367,73.04720245495491,43.44184894699821,31.962343096606332,62.60273064981302,22.598410160380052,55.58171317281185,2018,1051870,536167,521701,191575081.280585,Más de un millón,Noroeste,184248600.0,Culiacán,54188.0,56645.0
11,Mexicali,Baja California,79.50204036822329,56.60460113381847,52.60627229081452,62.324017898473116,71.1276647280367,73.04720245495491,43.44184894699821,31.962343096606332,62.60273064981302,22.598410160380052,55.58171317281185,2018,1051870,536167,521701,191575081.280585,Más de un millón,Noroeste,184248600.0,Guadalajara,217899.0,227469.0
12,Mexicali,Baja California,79.50204036822329,56.60460113381847,52.60627229081452,62.324017898473116,71.1276647280367,73.04720245495491,43.44184894699821,31.962343096606332,62.60273064981302,22.598410160380052,55.58171317281185,2018,1051870,536167,521701,191575081.280585,Más de un millón,Noroeste,184248600.0,Hermosillo,7797.0,8617.0
13,Mexicali,Baja California,79.50204036822329,56.60460113381847,52.60627229081452,62.324017898473116,71.1276647280367,73.04720245495491,43.44184894699821,31.962343096606332,62.60273064981302,22.598410160380052,55.58171317281185,2018,1051870,536167,521701,191575081.280585,Más de un millón,Noroeste,184248600.0,León,2066.0,1762.0
14,Mexicali,Baja California,79.50204036822329,56.60460113381847,52.60627229081452,62.324017898473116,71.1276647280367,73.04720245495491,43.44184894699821,31.962343096606332,62.60273064981302,22.598410160380052,55.58171317281185,2018,1051870,536167,521701,191575081.280585,Más de un millón,Noroeste,184248600.0,Mazatlán,138.0,149.0
15,Mexicali,Baja California,79.50204036822329,56.60460113381847,52.60627229081452,62.324017898473116,71.1276647280367,73.04720245495491,43.44184894699821,31.962343096606332,62.60273064981302,22.598410160380052,55.58171317281185,2018,1051870,536167,521701,191575081.280585,Más de un millón,Noroeste,184248600.0,México,201206.0,212991.0
16,Mexicali,Baja California,79.50204036822329,56.60460113381847,52.60627229081452,62.324017898473116,71.1276647280367,73.04720245495491,43.44184894699821,31.962343096606332,62.60273064981302,22.598410160380052,55.58171317281185,2018,1051870,536167,521701,191575081.280585,Más de un millón,Noroeste,184248600.0,Monterrey,40830.0,39731.0
17,Mexicali,Baja California,79.50204036822329,56.60460113381847,52.60627229081452,62.324017898473116,71.1276647280367,73.04720245495491,43.44184894699821,31.962343096606332,62.60273064981302,22.598410160380052,55.58171317281185,2018,1051870,536167,521701,191575081.280585,Más de un millón,Noroeste,184248600.0,Morelia,18827.0,21416.0
18,Mexicali,Baja California,79.50204036822329,56.60460113381847,52.60627229081452,62.324017898473116,71.1276647280367,73.04720245495491,43.44184894699821,31.962343096606332,62.60273064981302,22.598410160380052,55.58171317281185,2018,1051870,536167,521701,191575081.280585,Más de un millón,Noroeste,184248600.0,Puerto Vallarta,109.0,180.0
